,Dependents,tenure,OnlineSecurity,OnlineBackup,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn
1279,No,16,No,Yes,DSL,No,Yes,Month-to-month,Yes,53.9,1
2585,No,33,No,No,DSL,No,No,Month-to-month,Yes,44.55,0
2706,No,2,No,No,DSL,No,No,Month-to-month,Yes,49.4,1
4444,Yes,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.95,0
126,No,2,No,Yes,DSL,No,No,Month-to-month,Yes,59.0,0
1416,Yes,4,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.5,0
3570,No,66,No,Yes,Fiber optic,Yes,No,Month-to-month,No,99.5,1
3744,No,47,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.55,0
113,Yes,5,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.45,0
2105,No,5,No,No,Fiber optic,No,No,Month-to-month,Yes,75.9,1
3719,Yes,44,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.0,0
1114,Yes,18,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.15,1
859,No,44,No,No,Fiber optic,No,No,Month-to-month,No,68.85,0
4712,No,2,No,Yes,Fiber optic,No,No,Month-to-month,Yes,83.8,0
2147,No,1,No,No,DSL,No,No,Month-to-month,No,25.2,1
63,Yes,34,No,No,DSL,Yes,Yes,Month-to-month,Yes,44.85,0
2598,Yes,70,Yes,Yes,DSL,No,No,Two year,Yes,69.2,0
262,Yes,55,No,Yes,Fiber optic,Yes,Yes,One year,Yes,103.7,0
2268,No,71,No,No,Fiber optic,Yes,Yes,Two year,Yes,86.4,0
3221,No,62,No,Yes,DSL,Yes,Yes,Two year,Yes,60.15,0
2568,Yes,42,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.35,0
4173,No,22,Yes,No,DSL,No,Yes,Month-to-month,Yes,54.2,1
209,No,52,Yes,No,DSL,Yes,No,One year,No,35.45,0
1489,No,2,No,Yes,DSL,No,No,Month-to-month,Yes,54.4,1
3025,Yes,10,Yes,Yes,DSL,Yes,Yes,Two year,No,53.7,0
4722,No,38,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,69.95,0
1969,Yes,22,No,No,Fiber optic,No,No,Month-to-month,Yes,75.8,0
4839,Yes,48,Yes,Yes,DSL,Yes,No,One year,Yes,64.4,0
265,Yes,2,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.85,1
3480,No,32,No,Yes,Fiber optic,Yes,No,One year,Yes,104.05,0
4531,Yes,64,No,No,Fiber optic,Yes,No,One year,No,90.25,0
4581,Yes,45,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.45,0
1022,Yes,47,No,Yes,DSL,No,Yes,Two year,No,63.8,0
3681,No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,105.6,0
2373,No,26,Yes,No,DSL,Yes,No,One year,No,35.4,0
2068,No,40,No,Yes,Fiber optic,Yes,No,One year,No,80.8,0
2800,Yes,30,No,No,DSL,No,Yes,Month-to-month,No,51.2,1
1691,No,4,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.7,0
2116,No,57,No,No,DSL,Yes,Yes,Two year,No,53.35,0
4752,Yes,60,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,115.25,0
4925,No,15,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,103.45,0
3513,No,59,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,99.45,0
2282,Yes,11,No,No,Fiber optic,No,No,Month-to-month,Yes,79.5,1
2506,Yes,21,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.75,0
4726,No,26,No,Yes,DSL,Yes,No,Month-to-month,Yes,54.75,0
2931,No,51,Yes,Yes,Fiber optic,Yes,No,One year,Yes,93.5,0
3461,Yes,72,Yes,No,DSL,Yes,Yes,Two year,Yes,83.3,0
2081,No,52,No,Yes,DSL,No,Yes,Month-to-month,No,61.35,0
4520,No,52,Yes,Yes,DSL,No,No,Two year,Yes,63.25,0
3479,No,3,No,No,DSL,Yes,No,One year,Yes,69.95,0
54,No,10,No,Yes,Fiber optic,No,No,Month-to-month,Yes,81.0,1
4721,Yes,68,No,Yes,Fiber optic,No,Yes,Two year,Yes,103.75,0
4766,No,13,Yes,No,DSL,No,Yes,Month-to-month,Yes,54.45,1
3274,Yes,26,No,No,DSL,Yes,Yes,One year,Yes,82.0,0
2708,Yes,53,Yes,Yes,DSL,No,No,Two year,No,69.7,0
4863,No,5,No,No,DSL,Yes,Yes,Month-to-month,No,75.15,0
3818,Yes,46,Yes,No,Fiber optic,Yes,Yes,Two year,No,99.65,0
2071,No,3,No,No,DSL,No,No,Month-to-month,No,45.0,1
3290,No,65,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,108.8,0
3157,No,43,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,115.05,0
1854,No,53,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.25,0
4315,No,16,No,No,Fiber optic,No,No,Month-to-month,Yes,69.95,0
963,No,8,No,No,Fiber optic,No,No,Month-to-month,Yes,80.1,1
4183,No,41,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.15,0
6,No,17,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.7,0
2785,No,3,No,No,DSL,No,No,Month-to-month,Yes,60.25,0
1903,Yes,9,No,No,Fiber optic,No,Yes,Month-to-month,Yes,75.85,0
1875,No,37,No,No,Fiber optic,No,No,Month-to-month,Yes,85.7,1
3285,Yes,49,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.45,0
164,Yes,27,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.6,0
1771,No,6,No,No,Fiber optic,No,No,Month-to-month,Yes,91.1,1
3837,No,61,No,No,Fiber optic,No,Yes,One year,No,101.15,0
3969,Yes,56,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,19.8,0
4109,Yes,3,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,80.0,0
4214,No,26,No,Yes,DSL,Yes,No,One year,Yes,56.05,0
4072,No,6,Yes,Yes,DSL,No,No,Month-to-month,Yes,55.7,0
2824,No,43,No,Yes,DSL,No,No,Two year,Yes,60.0,0
4151,Yes,3,Yes,No,DSL,No,Yes,Month-to-month,Yes,64.5,0
3407,No,6,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.95,0
3712,No,24,No,Yes,Fiber optic,No,No,Month-to-month,Yes,90.55,1
3548,Yes,1,No,No,Fiber optic,No,No,Month-to-month,No,89.15,1
45,No,32,No,Yes,Fiber optic,No,No,Month-to-month,Yes,74.4,1
802,Yes,67,Yes,No,DSL,No,Yes,Two year,No,35.7,0
4147,No,55,Yes,Yes,DSL,Yes,No,Two year,No,58.6,0
2786,Yes,26,No,Yes,DSL,No,Yes,Month-to-month,Yes,60.05,1
3518,No,25,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.5,0
4732,Yes,26,Yes,Yes,Fiber optic,No,No,Month-to-month,No,81.95,0
3552,No,34,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.45,0
835,No,48,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.35,0
4372,No,52,Yes,Yes,DSL,Yes,Yes,Two year,No,66.25,0
2818,Yes,70,Yes,Yes,DSL,No,Yes,One year,No,64.95,0
1981,No,23,No,No,Fiber optic,No,Yes,Month-to-month,Yes,90.6,1
2417,No,36,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.0,0
574,No,71,Yes,Yes,Fiber optic,No,No,One year,No,95.65,0
3072,Yes,44,Yes,No,DSL,No,Yes,Month-to-month,No,56.25,0
4502,Yes,72,Yes,Yes,Fiber optic,No,Yes,Two year,No,105.5,0
740,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.15,1
254,No,19,Yes,No,DSL,Yes,No,Month-to-month,No,66.4,0
333,Yes,48,Yes,No,Fiber optic,Yes,No,One year,Yes,99.7,0
1280,Yes,32,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,76.3,0
1490,Yes,34,No,No,DSL,Yes,No,One year,No,77.2,0
4544,No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,109.9,0
805,No,38,No,No,Fiber optic,No,No,One year,Yes,70.45,1
2359,No,54,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.0,0
4696,No,65,Yes,Yes,DSL,Yes,No,One year,No,67.05,0
539,No,66,Yes,No,DSL,Yes,Yes,Two year,Yes,61.35,0
4429,No,22,No,No,Fiber optic,No,No,Month-to-month,Yes,69.25,1
3623,No,71,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,107.5,0
600,Yes,53,Yes,No,DSL,No,Yes,Month-to-month,No,71.85,0
645,No,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.75,0
582,No,69,No,Yes,Fiber optic,No,Yes,Two year,No,105.4,0
3613,No,29,Yes,Yes,DSL,No,Yes,One year,Yes,58.75,0
1950,Yes,7,No,No,Fiber optic,No,No,Month-to-month,Yes,69.0,1
349,No,2,No,No,DSL,No,No,Month-to-month,Yes,25.05,1
2405,No,39,Yes,No,DSL,Yes,No,Month-to-month,No,55.9,1
2797,No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,74.25,1
933,No,11,No,No,Fiber optic,No,No,Month-to-month,Yes,95.15,1
2251,No,51,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.6,0
241,No,37,Yes,No,DSL,No,No,One year,No,64.65,0
697,Yes,31,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,89.3,0
2391,Yes,4,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,57.2,0
3456,No,18,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.55,0
2842,No,25,No,No,Fiber optic,No,No,Month-to-month,Yes,84.8,1
1894,No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,75.15,1
2811,No,12,No,No,DSL,No,Yes,One year,No,74.05,1
2816,Yes,49,No,Yes,Fiber optic,No,No,One year,No,100.45,1
3142,No,34,No internet service,No internet service,No,No internet service,No internet service,Two year,No,26.1,0
632,Yes,19,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.85,0
3844,No,39,Yes,Yes,Fiber optic,No,No,One year,No,99.1,0
3840,No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,94.1,0
3739,No,23,Yes,No,DSL,Yes,No,One year,Yes,78.55,0
3750,No,18,No,Yes,Fiber optic,No,No,Month-to-month,Yes,73.55,0
2434,Yes,11,Yes,No,DSL,No,No,Month-to-month,Yes,65.15,0
3448,Yes,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.15,1
506,No,50,No,Yes,Fiber optic,No,No,Month-to-month,Yes,88.05,1
879,Yes,23,No,No,Fiber optic,No,No,Month-to-month,No,85.6,0
1978,No,1,No,No,DSL,No,No,Month-to-month,No,43.95,1
97,No,1,No,Yes,Fiber optic,No,No,Month-to-month,Yes,86.0,1
2291,No,4,No,Yes,DSL,No,Yes,Month-to-month,Yes,63.75,0
3370,No,1,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.8,1
4413,Yes,34,Yes,Yes,DSL,Yes,No,One year,Yes,60.8,0
4123,No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.55,0
2043,No,60,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.95,0
3629,No,55,No,No,Fiber optic,Yes,Yes,One year,Yes,104.15,1
976,Yes,3,No,Yes,DSL,No,No,Month-to-month,Yes,58.7,0
4324,No,42,No,Yes,Fiber optic,No,No,Month-to-month,Yes,79.35,0
1547,No,35,Yes,No,DSL,No,No,One year,Yes,62.15,0
1388,No,11,No,No,Fiber optic,Yes,No,Month-to-month,No,84.8,0
1882,No,18,Yes,No,DSL,Yes,No,Month-to-month,No,69.5,0
4249,Yes,66,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.35,0
2809,No,60,Yes,No,DSL,No,No,One year,Yes,59.8,0
685,Yes,71,Yes,No,Fiber optic,No,No,Two year,Yes,97.2,0
301,No,47,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,67.45,0
340,Yes,43,Yes,No,DSL,Yes,No,Two year,No,75.2,0
891,No,1,Yes,Yes,DSL,No,No,Month-to-month,Yes,53.55,0
2787,Yes,64,Yes,No,DSL,Yes,Yes,Two year,No,69.25,0
1346,Yes,4,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.35,1
2052,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,21.1,0
261,No,31,Yes,No,Fiber optic,No,No,Month-to-month,No,89.45,0
2772,Yes,10,Yes,Yes,DSL,No,Yes,One year,No,40.25,0
2399,No,15,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,26.35,0
1293,No,17,No,No,Fiber optic,No,No,Month-to-month,Yes,94.8,0
4083,Yes,66,No,No,DSL,Yes,Yes,Two year,No,54.65,0
2887,No,5,No,No,Fiber optic,No,No,Month-to-month,Yes,70.25,1
2873,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.75,0
503,Yes,67,Yes,No,DSL,No,No,Two year,No,50.9,0
2510,Yes,71,Yes,Yes,Fiber optic,No,No,One year,Yes,85.45,0
4596,Yes,29,No,No,Fiber optic,No,No,Month-to-month,Yes,87.8,0
378,No,34,Yes,Yes,DSL,No,No,One year,No,64.35,0
4443,No,49,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.45,0
3268,Yes,69,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,26.0,0
4914,No,25,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,79.85,1
4357,Yes,17,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,24.1,1
68,No,37,Yes,Yes,DSL,Yes,Yes,One year,No,67.45,0
3635,No,14,Yes,No,DSL,No,Yes,One year,No,55.7,0
3248,No,3,No,No,DSL,No,No,Month-to-month,No,44.75,0
3074,No,20,No,No,Fiber optic,No,No,One year,Yes,91.0,0
4141,Yes,17,Yes,No,DSL,No,Yes,One year,Yes,62.1,0
4211,No,64,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,115.0,0
1790,No,25,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,71.05,0
1405,Yes,21,No,No,DSL,No,No,Month-to-month,Yes,44.95,0
3183,No,72,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,97.95,0
1583,No,62,No,Yes,DSL,Yes,Yes,Two year,No,84.5,0
149,No,2,Yes,Yes,DSL,No,No,Month-to-month,Yes,42.6,1
4242,No,71,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,99.0,0
1858,No,4,No,Yes,Fiber optic,No,No,Month-to-month,Yes,100.2,1
751,Yes,37,Yes,Yes,DSL,No,No,One year,No,75.1,0
4420,No,3,No,No,DSL,No,No,Month-to-month,Yes,43.3,1
3797,Yes,30,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.05,1
3857,No,10,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,24.5,0
4156,Yes,13,No,Yes,DSL,Yes,Yes,Month-to-month,Yes,72.8,0
3879,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,75.3,1
4056,Yes,56,No,No,Fiber optic,Yes,No,One year,Yes,99.8,0
1140,Yes,6,No,No,DSL,No,No,Month-to-month,No,45.5,0
3135,No,12,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.15,0
3738,No,15,No,Yes,Fiber optic,No,No,Month-to-month,No,89.0,0
1043,No,5,No,No,Fiber optic,No,No,Month-to-month,No,78.95,1
1438,Yes,70,Yes,Yes,DSL,Yes,Yes,One year,No,74.1,0
4135,No,29,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.4,0
1248,No,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.4,0
1181,No,10,No,No,Fiber optic,No,No,Month-to-month,No,86.45,1
3249,No,8,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,65.5,0
4688,No,42,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,85.9,0
2578,No,15,Yes,No,DSL,No,No,Month-to-month,Yes,64.65,1
1674,Yes,14,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.75,0
3435,No,15,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.6,0
4593,No,72,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,108.1,0
3030,No,12,No,No,Fiber optic,No,No,Month-to-month,Yes,86.55,0
748,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.55,0
4814,No,1,No,No,DSL,No,No,Month-to-month,Yes,24.9,0
3855,Yes,62,Yes,Yes,Fiber optic,No,No,One year,Yes,81.45,0
4512,No,46,No,Yes,Fiber optic,No,Yes,One year,Yes,103.15,0
542,Yes,5,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,25.9,1
2666,No,15,No,Yes,Fiber optic,No,No,Month-to-month,Yes,100.15,0
4761,No,11,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.45,0
1532,Yes,5,No,Yes,Fiber optic,No,No,Month-to-month,Yes,80.15,1
2425,No,66,No,Yes,Fiber optic,No,No,Month-to-month,Yes,80.45,1
3140,No,58,No,No,Fiber optic,No,Yes,Month-to-month,No,80.65,0
293,Yes,64,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.8,0
1800,Yes,40,No,Yes,DSL,No,No,Month-to-month,Yes,50.85,0
3153,No,67,No,No,Fiber optic,No,No,Month-to-month,Yes,75.7,0
2438,No,70,Yes,Yes,DSL,Yes,Yes,Two year,No,64.55,0
4718,No,2,No,No,DSL,No,No,Month-to-month,Yes,45.25,0
1159,No,8,Yes,No,Fiber optic,No,No,Month-to-month,Yes,74.5,1
4617,Yes,6,No,No,Fiber optic,No,Yes,Month-to-month,Yes,80.5,1
2848,No,21,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,106.1,1
3941,No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,76.05,1
407,No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,75.8,1
1542,No,2,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.1,0
1112,No,31,No,No,DSL,Yes,Yes,One year,Yes,79.3,0
3919,No,1,No,No,DSL,No,No,Month-to-month,Yes,45.85,0
127,Yes,41,Yes,No,DSL,Yes,No,One year,No,35.4,0
1529,Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.95,0
3126,Yes,21,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,24.7,0
564,No,9,No,No,DSL,No,No,Month-to-month,No,44.95,1
2055,No,54,Yes,Yes,Fiber optic,No,Yes,One year,Yes,105.4,1
2939,No,55,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.7,0
3055,No,38,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,79.45,1
3834,Yes,32,No,No,Fiber optic,Yes,No,Month-to-month,Yes,91.35,0
4467,Yes,13,Yes,No,DSL,No,No,Month-to-month,Yes,52.1,0
991,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.5,0
2743,No,1,No,No,Fiber optic,No,No,Month-to-month,No,85.8,1
3573,Yes,57,Yes,No,DSL,No,No,One year,Yes,70.1,1
1707,No,2,No,No,Fiber optic,No,No,Month-to-month,No,69.75,1
1612,No,20,No,Yes,Fiber optic,No,Yes,Month-to-month,No,107.05,0
3841,Yes,49,No,Yes,DSL,No,No,One year,Yes,51.8,1
2360,No,16,No,No,Fiber optic,No,Yes,Month-to-month,Yes,74.55,0
3070,No,66,Yes,Yes,DSL,No,No,One year,Yes,54.8,0
3615,No,34,No,No,DSL,Yes,Yes,One year,No,64.2,0
4834,No,71,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.9,0
1041,No,61,Yes,Yes,Fiber optic,Yes,No,One year,Yes,107.75,0
1697,No,42,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.35,0
938,Yes,10,Yes,Yes,DSL,No,No,One year,No,70.3,0
181,Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.05,0
4613,No,28,No,No,DSL,No,Yes,Month-to-month,Yes,54.9,0
3464,Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,89.4,0
1850,No,16,No,No,DSL,No,Yes,Month-to-month,Yes,49.45,0
2646,No,4,Yes,No,DSL,No,No,Month-to-month,Yes,29.05,0
3360,No,12,No,No,Fiber optic,Yes,No,Month-to-month,Yes,99.45,1
1450,No,67,Yes,No,DSL,Yes,Yes,One year,Yes,49.35,0
2675,No,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.85,0
4648,No,18,No,No,DSL,No,No,Month-to-month,Yes,44.35,0
4333,No,56,Yes,Yes,Fiber optic,Yes,No,One year,Yes,93.15,0
4345,Yes,14,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,25.55,0
4306,No,33,No,Yes,DSL,Yes,No,Month-to-month,Yes,66.4,0
596,No,22,No,No,Fiber optic,No,No,Month-to-month,Yes,96.7,1
372,Yes,25,Yes,Yes,DSL,Yes,No,One year,Yes,61.6,0
3222,Yes,58,No,No,DSL,Yes,Yes,Two year,Yes,55.5,0
4119,No,16,No,No,Fiber optic,No,No,Month-to-month,Yes,75.4,0
3363,No,18,No,No,Fiber optic,Yes,Yes,Month-to-month,No,78.2,0
1564,Yes,39,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,24.2,0
806,No,15,Yes,No,Fiber optic,Yes,No,Month-to-month,No,101.75,0
1779,Yes,71,Yes,Yes,DSL,Yes,Yes,Two year,No,91.05,0
2494,No,58,Yes,No,DSL,No,Yes,One year,Yes,68.4,0
3169,No,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,90.95,0
1641,No,32,Yes,Yes,DSL,No,Yes,One year,No,70.5,0
116,No,2,No,Yes,DSL,No,No,Month-to-month,No,49.2,0
2888,Yes,9,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.1,0
2219,Yes,42,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.25,0
4644,Yes,14,Yes,Yes,DSL,No,Yes,Month-to-month,No,59.45,0
4361,No,3,No,No,Fiber optic,Yes,No,Month-to-month,No,73.85,0
1828,No,32,Yes,No,DSL,No,Yes,One year,Yes,72.8,0
2986,Yes,49,No,Yes,Fiber optic,Yes,No,One year,Yes,93.65,0
3335,Yes,15,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,25.25,0
405,No,3,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,79.1,1
2390,No,8,Yes,No,DSL,No,Yes,Month-to-month,No,71.15,1
4275,No,47,No,Yes,DSL,No,No,Month-to-month,Yes,58.6,0
3944,Yes,32,Yes,Yes,Fiber optic,Yes,No,One year,No,94.8,0
4865,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,70.35,0
494,No,69,No,No,Fiber optic,Yes,Yes,Two year,No,104.0,0
1073,No,37,No,Yes,DSL,No,Yes,One year,No,72.1,0
4622,Yes,67,Yes,Yes,Fiber optic,Yes,No,One year,No,84.8,0
1054,Yes,19,No,No,DSL,No,No,Month-to-month,Yes,24.85,0
32,No,33,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,79.0,0
1812,No,15,No,No,Fiber optic,No,No,Month-to-month,Yes,74.2,1
3112,Yes,62,No,Yes,Fiber optic,No,Yes,One year,Yes,106.05,0
463,Yes,21,Yes,No,DSL,Yes,No,One year,No,64.85,0
1467,Yes,52,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,84.05,0
2863,No,70,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.7,0
4381,Yes,55,No internet service,No internet service,No,No internet service,No internet service,Two year,No,21.0,0
3618,No,27,No,No,Fiber optic,Yes,No,Month-to-month,No,90.15,0
3994,No,44,No,No,Fiber optic,Yes,Yes,Month-to-month,No,104.15,0
3332,No,4,No,No,Fiber optic,No,No,Month-to-month,Yes,85.65,1
257,No,52,No,Yes,Fiber optic,No,No,One year,Yes,80.2,0
93,No,66,Yes,Yes,Fiber optic,Yes,Yes,One year,No,115.8,0
2175,No,1,No,No,Fiber optic,No,No,Month-to-month,No,71.35,1
3823,Yes,15,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.8,0
4538,Yes,58,Yes,Yes,Fiber optic,No,No,One year,No,99.25,0
3935,No,1,Yes,No,Fiber optic,No,No,Month-to-month,Yes,81.7,1
2748,Yes,71,No,Yes,DSL,Yes,Yes,One year,Yes,72.9,0
3056,Yes,53,No,No,DSL,Yes,Yes,One year,Yes,78.75,0
2212,No,45,Yes,No,DSL,Yes,Yes,Two year,No,81.65,0
3567,No,48,No,No,DSL,Yes,Yes,One year,Yes,69.55,0
150,Yes,23,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.65,0
706,Yes,70,No,Yes,DSL,Yes,Yes,One year,Yes,58.4,0
2604,No,11,No,Yes,Fiber optic,No,No,Month-to-month,Yes,74.55,1
2042,Yes,41,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,94.3,0
2795,Yes,61,No,Yes,DSL,Yes,Yes,Two year,Yes,61.45,0
476,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,104.9,0
2953,No,16,No,No,Fiber optic,No,Yes,Month-to-month,Yes,94.45,1
4402,Yes,47,No,Yes,Fiber optic,No,No,One year,Yes,84.95,0
3208,No,8,No,Yes,DSL,Yes,No,Month-to-month,Yes,43.35,0
1533,Yes,50,No,No,Fiber optic,Yes,Yes,One year,No,103.05,0
628,No,10,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,94.85,1
3123,Yes,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.75,1
2109,No,1,No,No,Fiber optic,Yes,No,Month-to-month,Yes,88.8,1
110,No,20,No,No,Fiber optic,No,No,Month-to-month,Yes,85.25,1
2408,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,69.9,1
3057,No,69,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,110.05,0
2007,No,2,No,Yes,DSL,No,No,Month-to-month,No,49.25,0
4438,No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,70.5,0
4817,Yes,13,No,No,Fiber optic,No,No,Month-to-month,Yes,74.4,1
3773,No,26,No,No,DSL,No,Yes,Month-to-month,No,49.15,0
3410,Yes,0,Yes,Yes,DSL,Yes,Yes,Two year,No,56.05,0
1116,No,53,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,103.85,1
1011,No,68,No,No,DSL,Yes,No,Month-to-month,Yes,39.9,0
4356,No,72,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,109.95,0
3843,No,16,No,No,DSL,No,No,Month-to-month,Yes,63.05,0
4833,Yes,18,No,No,DSL,No,No,Month-to-month,No,25.55,0
1303,Yes,51,Yes,No,DSL,No,Yes,Two year,No,34.2,0
3443,No,16,No,No,Fiber optic,Yes,No,Month-to-month,Yes,98.75,1
1675,Yes,1,No,No,DSL,No,No,Month-to-month,No,44.0,0
2356,No,70,No,Yes,Fiber optic,Yes,Yes,One year,Yes,90.25,0
1519,No,21,No,No,Fiber optic,No,No,Month-to-month,Yes,84.1,0
1288,No,1,No,No,DSL,Yes,Yes,Month-to-month,No,35.9,0
2844,No,10,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,18.85,0
996,No,72,No,Yes,Fiber optic,Yes,No,Two year,Yes,106.3,0
464,Yes,58,Yes,No,DSL,Yes,Yes,Two year,No,59.75,0
3401,No,42,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.8,0
